home_team,away_team,home_win_prob,draw_prob,away_win_prob,over_2_5_prob,btts_prob,home_cs_prob,away_cs_prob,home_xg,away_xg
Ipswich Town,Newcastle United,0.14599329601494798,0.19249578710009518,0.6615109168849568,0.6135580697624429,0.5535742962215979,0.10800097402467247,0.3817566412816097,0.96,2.23
Liverpool,Leeds,0.4595790968666571,0.24681540061438154,0.29360550251896156,0.5559862947573434,0.5849921251481593,0.27881488343604915,0.19265932467093547,1.65,1.28
Manchester City,Chelsea,0.710252821365547,0.1615612514494886,0.12818592718496452,0.7198966258368081,0.6190294729476608,0.33608293362316344,0.06938705786739387,2.67,1.09
Sunderland,Nottingham Forest,0.3543852881355617,0.2800068941184182,0.3656078177460203,0.4413264968199684,0.5033873102390976,0.290246857149416,0.2969811992461266,1.21,1.24
Arsenal,Manchester United,0.5613404661750392,0.23049241883735408,0.20816711498760668,0.551310231561316,0.5514025731743395,0.349291027786339,0.15692132570577386,1.85,1.05
Bournemouth,Coventry City,0.7736209439415854,0.17385296410297532,0.052526091955439294,0.43684101936847597,0.28380858797430514,0.6793047024854586,0.1289757768811075,2.05,0.39
Brentford,Newcastle United,0.48848198298898615,0.23542949546316375,0.27608852154784996,0.5947575949226144,0.6099874415005212,0.27101619019259193,0.16640077039056095,1.79,1.31
Brighton,Ipswich Town,0.7484327232128175,0.1550842496538505,0.09648302713333193,0.6580783262308986,0.5275719049579413,0.43049201462401077,0.07656992590718911,2.57,0.84
Chelsea,Aston Villa,0.4632630058776001,0.22177647813804816,0.31496051598435193,0.6816085840947065,0.6836037763270412,0.20448883210698393,0.1425449516832823,1.95,1.59
Leeds,Fulham,0.5120351218349545,0.2504185945309997,0.2375462836340459,0.5026640045692012,0.5285900623379073,0.3494337549581198,0.19279492391033423,1.65,1.05
Liverpool,Tottenham Hotspur,0.5202583975058068,0.23305681997058106,0.24668478252361217,0.5813995236565239,0.5908147350477787,0.2994902487958903,0.16009431046349104,1.83,1.21
Manchester City,Hull City,0.9286888287083663,0.052836670352219645,0.01847450093941394,0.816879476256423,0.41532457375385673,0.5768246472901846,0.019854453930960216,3.97,0.55
Nottingham Forest,Everton,0.3693313286915499,0.2854627049669421,0.3452059663415082,0.42175791074767044,0.487596237602446,0.3125179359918159,0.29768622358761515,1.21,1.16
