gw,home_team,away_team,home_goals,away_goals,pred_home_xg,pred_away_xg,home_win_prob,draw_prob,away_win_prob,actual_outcome,predicted_outcome,outcome_correct,rps,naive_rps,brier,actual_over_2_5,pred_over_prob,ou_correct,pred_top_score,actual_score,correct_score,xg_mae_home,xg_mae_away
36,Burnley,Aston Villa,2,2,0.971,1.798,0.2085,0.2644,0.5271,draw,away_win,False,0.1607,0.1111,0.0435,True,0.4775,False,0-0,2-2,False,0.7394188551258143,0.04817443481463868
36,Crystal Palace,Everton,2,2,1.224,1.205,0.3494,0.3093,0.3413,draw,home_win,False,0.1193,0.1111,0.1221,True,0.4082,False,0-0,2-2,False,2.065954571571797,0.8952000162505611
36,Nottingham Forest,Newcastle United,1,1,1.352,1.332,0.3598,0.2884,0.3518,draw,home_win,False,0.1266,0.1111,0.1294,False,0.4612,True,0-0,1-1,False,0.10803041302883898,0.31811876809554684
36,West Ham,Arsenal,0,1,1.072,2.238,0.1868,0.2222,0.591,away_win,away_win,True,0.1011,0.2778,0.0349,False,0.579,False,0-2,0-1,False,0.2475174577528494,0.808341330623296
36,Tottenham Hotspur,Leeds,1,1,1.737,1.614,0.3987,0.2464,0.3549,draw,home_win,False,0.1425,0.1111,0.1589,False,0.5879,False,1-1,1-1,True,0.24724392959045893,0.2561542348005392
36,Manchester City,Crystal Palace,3,0,2.301,0.806,0.6562,0.2127,0.1312,home_win,home_win,True,0.0677,0.2778,0.1182,True,0.5409,True,1-0,3-0,False,0.3414144166329609,0.3757046039066561
37,Aston Villa,Liverpool,4,2,1.539,1.682,0.3474,0.2533,0.3993,home_win,away_win,False,0.2927,0.2778,0.4259,True,0.5648,True,0-0,4-2,False,0.9912055364494985,0.13209210436827856
37,Manchester United,Nottingham Forest,3,2,1.694,1.322,0.4381,0.2625,0.2993,home_win,home_win,True,0.2027,0.2778,0.3157,True,0.5266,True,0-0,3-2,False,2.5964013452645416,0.5177234982215941
37,Brentford,Crystal Palace,2,2,1.801,1.27,0.4701,0.256,0.2739,draw,home_win,False,0.148,0.1111,0.221,True,0.5368,True,0-0,2-2,False,0.2512899248150027,0.5503744355353146
37,Everton,Sunderland,1,3,1.539,0.965,0.4708,0.2928,0.2364,away_win,home_win,False,0.4023,0.2778,0.2216,True,0.4237,False,0-0,1-3,False,0.21944167426239014,0.3153513840487553
37,Leeds,Brighton,1,0,1.479,1.453,0.3696,0.2711,0.3594,home_win,home_win,True,0.2633,0.2778,0.3974,False,0.5106,False,0-0,1-0,False,0.7293562204032833,0.7774939354622412
37,Wolverhampton Wanderers,Fulham,1,1,1.042,1.494,0.2611,0.2941,0.4449,draw,away_win,False,0.133,0.1111,0.0681,False,0.4304,True,0-0,1-1,False,0.45827766848809004,0.013900875976287086
37,Newcastle United,West Ham,3,1,1.937,1.247,0.5015,0.2457,0.2528,home_win,home_win,True,0.1562,0.2778,0.2485,True,0.5574,True,0-0,3-1,False,0.19349555943995989,0.28702322716222106
37,Arsenal,Burnley,1,0,2.754,0.645,0.7552,0.1655,0.0793,home_win,home_win,True,0.0331,0.2778,0.0599,False,0.5901,False,2-0,1-0,False,1.5236468634290943,0.4554158560748975
